Episode,Show,Time,Date,Minutes
42,Build and Analyze,1:31:42,9/12/11,91.7
43,Build and Analyze,1:25:13,9/19/11,85.21666667
44,Build and Analyze,1:19:27,9/26/11,79.45
45,Build and Analyze,1:29:52,10/3/11,89.86666667
46,Build and Analyze,1:16:32,10/10/11,76.53333333
47,Build and Analyze,1:10:05,10/17/11,70.08333333
48,Build and Analyze,1:06:25,10/24/11,66.41666667
49,Build and Analyze,1:15:36,10/31/11,75.6
50,Build and Analyze,1:09:49,11/7/11,69.81666667
51,Build and Analyze,1:04:09,11/14/11,64.15
52,Build and Analyze,1:28:35,11/21/11,88.58333333
53,Build and Analyze,1:06:36,11/30/11,66.6
54,Build and Analyze,1:07:32,12/5/11,67.53333333
55,Build and Analyze,1:21:35,12/13/11,81.58333333
56,Build and Analyze,1:13:39,12/19/11,73.65
57,Build and Analyze,1:12:45,12/27/11,72.75
58,Build and Analyze,1:16:57,1/3/12,76.95
59,Build and Analyze,1:31:01,1/10/12,91.01666667
60,Build and Analyze,1:14:17,1/16/12,74.28333333
61,Build and Analyze,1:23:34,1/26/12,83.56666667
62,Build and Analyze,1:15:37,2/2/12,75.61666667
63,Build and Analyze,1:22:46,2/10/12,82.76666667
64,Build and Analyze,1:16:34,2/16/12,76.56666667
65,Build and Analyze,1:19:32,2/20/12,79.53333333
66,Build and Analyze,1:34:18,2/27/12,94.3
67,Build and Analyze,1:28:48,3/5/12,88.8
68,Build and Analyze,1:16:12,3/12/12,76.2
69,Build and Analyze,1:26:56,3/19/12,86.93333333
70,Build and Analyze,1:18:04,3/26/12,78.06666667
71,Build and Analyze,1:24:47,4/2/12,84.78333333
72,Build and Analyze,1:13:19,4/9/12,73.31666667
73,Build and Analyze,1:28:59,4/16/12,88.98333333
74,Build and Analyze,1:12:27,4/27/12,72.45
75,Build and Analyze,1:57:44,4/30/12,117.7333333
76,Build and Analyze,1:14:20,5/7/12,74.33333333
77,Build and Analyze,1:09:08,5/14/12,69.13333333
78,Build and Analyze,1:19:05,5/21/12,79.08333333
79,Build and Analyze,1:40:12,5/29/12,100.2
80,Build and Analyze,1:25:52,6/4/12,85.86666667
81,Build and Analyze,1:06:22,6/12/12,66.36666667
82,Build and Analyze,1:13:06,6/20/12,73.1
83,Build and Analyze,1:54:46,6/25/12,114.7666667
84,Build and Analyze,1:39:59,7/2/12,99.98333333
85,Build and Analyze,1:38:52,7/9/12,98.86666667
86,Build and Analyze,1:38:13,7/16/12,98.21666667
1,Hypercritical,0:57:45,1/14/11,57.75
2,Hypercritical,1:14:42,1/21/11,74.7
3,Hypercritical,1:09:25,1/28/11,69.41666667
4,Hypercritical,1:04:33,2/4/11,64.55
5,Hypercritical,1:01:03,2/11/11,61.05
6,Hypercritical,1:43:47,2/18/11,103.7833333
7,Hypercritical,1:30:26,2/25/11,90.43333333
8,Hypercritical,1:16:37,3/4/11,76.61666667
9,Hypercritical,1:05:18,3/11/11,65.3
10,Hypercritical,1:25:29,3/18/11,85.48333333
11,Hypercritical,1:18:20,3/25/11,78.33333333
12,Hypercritical,1:12:25,4/1/11,72.41666667
13,Hypercritical,1:24:38,4/8/11,84.63333333
14,Hypercritical,1:26:34,4/15/11,86.56666667
15,Hypercritical,1:43:17,4/29/11,103.2833333
16,Hypercritical,1:42:00,5/6/11,102
17,Hypercritical,1:34:49,5/13/11,94.81666667
18,Hypercritical,1:13:36,5/20/11,73.6
19,Hypercritical,0:58:14,5/27/11,58.23333333
20,Hypercritical,0:46:01,6/4/11,46.01666667
21,Hypercritical,1:43:49,6/10/11,103.8166667
22,Hypercritical,1:17:14,6/17/11,77.23333333
23,Hypercritical,1:42:52,6/24/11,102.8666667
24,Hypercritical,1:12:18,7/2/11,72.3
25,Hypercritical,1:16:12,7/6/11,76.2
26,Hypercritical,1:07:37,7/13/11,67.61666667
27,Hypercritical,1:36:04,7/24/11,96.06666667
28,Hypercritical,1:23:05,7/28/11,83.08333333
29,Hypercritical,1:20:30,8/10/11,80.5
30,Hypercritical,1:08:26,8/17/11,68.43333333
31,Hypercritical,1:21:25,8/24/11,81.41666667
32,Hypercritical,1:31:57,8/31/11,91.95
33,Hypercritical,1:17:10,9/9/11,77.16666667
34,Hypercritical,1:29:54,9/16/11,89.9
35,Hypercritical,1:25:42,9/23/11,85.7
36,Hypercritical,1:25:59,9/30/11,85.98333333
37,Hypercritical,1:11:37,10/7/11,71.61666667
38,Hypercritical,1:27:19,10/14/11,87.31666667
39,Hypercritical,1:32:12,10/21/11,92.2
40,Hypercritical,1:32:31,10/28/11,92.51666667
41,Hypercritical,1:39:35,11/4/11,99.58333333
42,Hypercritical,1:15:22,11/11/11,75.36666667
43,Hypercritical,1:42:19,11/18/11,102.3166667
44,Hypercritical,1:11:35,11/25/11,71.58333333
45,Hypercritical,1:47:22,12/9/11,107.3666667
46,Hypercritical,2:05:09,12/16/11,125.15
47,Hypercritical,1:38:58,12/23/11,98.96666667
48,Hypercritical,2:03:20,12/30/11,123.3333333
49,Hypercritical,2:15:38,1/6/12,135.6333333
50,Hypercritical,1:45:47,1/13/12,105.7833333
51,Hypercritical,1:22:15,1/20/12,82.25
52,Hypercritical,2:12:33,1/27/12,132.55
53,Hypercritical,1:33:24,2/3/12,93.4
55,Hypercritical,1:29:08,2/17/12,89.13333333
56,Hypercritical,1:59:24,2/24/12,119.4
57,Hypercritical,1:42:55,3/2/12,102.9166667
58,Hypercritical,1:48:59,3/9/12,108.9833333
59,Hypercritical,2:15:05,3/16/12,135.0833333
60,Hypercritical,1:29:51,3/23/12,89.85
61,Hypercritical,1:47:47,3/30/12,107.7833333
62,Hypercritical,1:46:00,4/6/12,106
63,Hypercritical,1:45:42,4/13/12,105.7
64,Hypercritical,1:40:08,4/20/12,100.1333333
65,Hypercritical,1:40:48,4/27/12,100.8
66,Hypercritical,2:06:13,5/4/12,126.2166667
67,Hypercritical,2:01:32,5/11/12,121.5333333
68,Hypercritical,2:14:01,5/18/12,134.0166667
69,Hypercritical,1:55:35,5/25/12,115.5833333
70,Hypercritical,1:39:33,6/1/12,99.55
71,Hypercritical,1:46:31,6/8/12,106.5166667
72,Hypercritical,1:09:10,6/15/12,69.16666667
73,Hypercritical,1:42:26,6/22/12,102.4333333
74,Hypercritical,1:59:08,6/29/12,119.1333333
75,Hypercritical,1:32:37,7/6/12,92.61666667
76,Hypercritical,2:06:02,7/13/12,126.0333333
1,Back to Work,1:29:28,1/18/11,89.46666667
2,Back to Work,1:08:42,1/25/11,68.7
3,Back to Work,1:10:54,2/1/11,70.9
4,Back to Work,1:03:07,2/8/11,63.11666667
5,Back to Work,1:19:33,2/15/11,79.55
6,Back to Work,1:03:40,3/1/11,63.66666667
7,Back to Work,1:22:29,3/8/11,82.48333333
8,Back to Work,1:13:05,3/15/11,73.08333333
9,Back to Work,1:11:00,3/22/11,71
10,Back to Work,1:21:49,3/29/11,81.81666667
11,Back to Work,1:18:47,4/12/11,78.78333333
12,Back to Work,1:04:42,4/19/11,64.7
13,Back to Work,1:30:13,4/26/11,90.21666667
14,Back to Work,1:07:53,5/3/11,67.88333333
15,Back to Work,1:00:09,5/10/11,60.15
16,Back to Work,1:12:06,5/18/11,72.1
17,Back to Work,1:26:14,5/27/11,86.23333333
18,Back to Work,1:25:01,5/31/11,85.01666667
19,Back to Work,1:22:48,6/7/11,82.8
20,Back to Work,1:13:29,6/14/11,73.48333333
21,Back to Work,1:01:51,6/22/11,61.85
22,Back to Work,1:10:41,6/28/11,70.68333333
23,Back to Work,1:17:57,7/5/11,77.95
24,Back to Work,1:32:45,7/12/11,92.75
25,Back to Work,1:13:36,7/22/11,73.6
26,Back to Work,1:33:01,7/29/11,93.01666667
27,Back to Work,1:24:50,8/2/11,84.83333333
28,Back to Work,1:25:58,8/9/11,85.96666667
29,Back to Work,1:22:33,8/16/11,82.55
30,Back to Work,1:00:37,8/23/11,60.61666667
31,Back to Work,1:42:22,8/30/11,102.3666667
32,Back to Work,1:26:53,9/6/11,86.88333333
33,Back to Work,1:11:35,9/13/11,71.58333333
34,Back to Work,1:04:34,9/20/11,64.56666667
35,Back to Work,1:34:33,9/27/11,94.55
36,Back to Work,1:21:47,10/11/11,81.78333333
37,Back to Work,2:04:00,10/18/11,124
38,Back to Work,1:19:23,10/25/11,79.38333333
39,Back to Work,1:20:22,11/1/11,80.36666667
40,Back to Work,1:39:45,11/8/11,99.75
41,Back to Work,1:21:46,11/15/11,81.76666667
42,Back to Work,1:16:04,11/22/11,76.06666667
43,Back to Work,0:58:45,11/30/11,58.75
44,Back to Work,1:13:58,12/7/11,73.96666667
45,Back to Work,1:09:47,12/13/11,69.78333333
46,Back to Work,1:23:22,12/20/11,83.36666667
47,Back to Work,1:04:11,12/27/11,64.18333333
48,Back to Work,1:17:36,1/3/12,77.6
49,Back to Work,1:41:04,1/10/12,101.0666667
50,Back to Work,1:24:03,1/17/12,84.05
51,Back to Work,1:22:32,1/24/12,82.53333333
52,Back to Work,1:16:11,1/31/12,76.18333333
53,Back to Work,1:55:57,2/7/12,115.95
54,Back to Work,1:35:02,2/16/12,95.03333333
55,Back to Work,1:47:57,2/21/12,107.95
56,Back to Work,1:27:23,2/28/12,87.38333333
57,Back to Work,1:33:03,3/5/12,93.05
58,Back to Work,1:12:44,3/12/12,72.73333333
59,Back to Work,2:01:36,3/19/12,121.6
60,Back to Work,1:10:30,3/26/12,70.5
61,Back to Work,1:09:33,4/2/12,69.55
62,Back to Work,1:02:46,4/9/12,62.76666667
63,Back to Work,1:20:21,4/16/12,80.35
64,Back to Work,1:38:38,4/23/12,98.63333333
65,Back to Work,1:30:44,5/3/12,90.73333333
66,Back to Work,1:23:21,5/7/12,83.35
67,Back to Work,1:20:25,5/15/12,80.41666667
68,Back to Work,1:14:16,5/21/12,74.26666667
69,Back to Work,1:37:16,5/29/12,97.26666667
70,Back to Work,1:25:41,6/5/12,85.68333333
71,Back to Work,1:39:42,6/11/12,99.7
72,Back to Work,1:27:02,6/18/12,87.03333333
73,Back to Work,1:40:19,6/25/12,100.3166667
74,Back to Work,1:24:38,7/2/12,84.63333333
75,Back to Work,1:27:31,7/9/12,87.51666667
76,Back to Work,1:27:49,7/16/12,87.81666667
1,The Critical Path,0:56:00,6/7/11,56
2,The Critical Path,0:51:00,6/17/11,51
3,The Critical Path,0:57:00,7/3/11,57
4,The Critical Path,0:52:00,8/16/11,52
5,The Critical Path,0:57:00,8/23/11,57
6,The Critical Path,1:02:00,9/14/11,62
7,The Critical Path,0:58:00,9/21/11,58
8,The Critical Path,0:47:00,9/28/11,47
9,The Critical Path,0:59,10/5/11,59
10,The Critical Path,0:56:00,10/19/11,56
11,The Critical Path,0:58:56,10/26/11,58.93333333
12,The Critical Path,0:57:07,11/2/11,57.11666667
13,The Critical Path,0:56:14,11/16/11,56.23333333
14,The Critical Path,0:58:16,11/24/11,58.26666667
15,The Critical Path,1:04:04,12/12/11,64.06666667
16,The Critical Path,0:58:47,12/14/11,58.78333333
17,The Critical Path,1:02:12,12/21/11,62.2
18,The Critical Path,0:57:17,12/21/11,57.28333333
19,The Critical Path,1:00:12,12/29/11,60.2
20,The Critical Path,1:07:45,1/4/12,67.75
21,The Critical Path,0:57:00,1/11/12,57
22,The Critical Path,1:02:56,1/18/12,62.93333333
23,The Critical Path,1:06:59,1/26/12,66.98333333
24,The Critical Path,0:57:08,2/5/12,57.13333333
25,The Critical Path,0:51:18,2/17/12,51.3
26,The Critical Path,1:00:50,2/22/12,60.83333333
27,The Critical Path,1:03:26,3/2/12,63.43333333
28,The Critical Path,1:02:55,3/7/12,62.91666667
29,The Critical Path,0:50:54,3/14/12,50.9
30,The Critical Path,1:21:26,3/21/12,81.43333333
31,The Critical Path,1:12:49,3/28/12,72.81666667
32,The Critical Path,1:00:05,4/4/12,60.08333333
33,The Critical Path,1:08:16,4/11/12,68.26666667
34,The Critical Path,1:21:07,4/18/12,81.11666667
35,The Critical Path,1:07:04,4/25/12,67.06666667
36,The Critical Path,1:02:27,5/2/12,62.45
37,The Critical Path,0:47:19,5/9/12,47.31666667
38,The Critical Path,0:59:07,5/16/12,59.11666667
39,The Critical Path,1:05:25,5/23/12,65.41666667
40,The Critical Path,1:03:28,5/30/12,63.46666667
41,The Critical Path,0:53:19,6/6/12,53.31666667
42,The Critical Path,1:20:09,6/13/12,80.15
43,The Critical Path,0:59:48,6/20/12,59.8
44,The Critical Path,1:11:22,6/27/12,71.36666667
45,The Critical Path,1:11:35,7/11/12,71.58333333
1,The Incomparable,NA,8/22/10,53.03333333
2,The Incomparable,NA,8/30/10,54.58333333
3,The Incomparable,NA,9/5/10,63.48333333
4,The Incomparable,NA,9/12/10,54.83333333
5,The Incomparable,NA,9/20/10,57.48333333
6,The Incomparable,NA,9/27/10,61.66666667
7,The Incomparable,NA,10/10/10,55.71666667
8,The Incomparable,NA,10/17/10,64
9,The Incomparable,NA,10/24/10,58.63333333
10,The Incomparable,NA,10/31/10,57.03333333
11,The Incomparable,NA,11/10/10,67.03333333
12,The Incomparable,NA,11/22/10,68.15
13,The Incomparable,NA,11/29/10,72.25
14,The Incomparable,NA,12/5/10,61.1
15,The Incomparable,NA,12/13/10,54.76666667
16,The Incomparable,NA,12/19/10,52.85
17,The Incomparable,NA,12/22/10,56.7
18,The Incomparable,NA,12/25/10,50.1
19,The Incomparable,NA,1/9/11,65.21666667
20,The Incomparable,NA,1/17/11,58.75
21,The Incomparable,NA,1/23/11,55.11666667
22,The Incomparable,NA,1/30/11,58.33333333
23,The Incomparable,NA,2/6/11,64.4
24,The Incomparable,NA,2/13/11,61.4
25,The Incomparable,NA,2/21/11,58
26,The Incomparable,NA,2/28/11,58.96666667
27,The Incomparable,NA,3/7/11,65.88333333
28,The Incomparable,NA,3/13/11,61.83333333
29,The Incomparable,NA,3/22/11,61.1
30,The Incomparable,NA,3/27/11,66.76666667
31,The Incomparable,NA,4/1/11,61.78333333
32,The Incomparable,NA,4/11/11,76.95
33,The Incomparable,NA,4/18/11,63.9
34,The Incomparable,NA,4/23/11,65.98333333
35,The Incomparable,NA,5/1/11,65.33333333
36,The Incomparable,NA,5/2/11,31.55
37,The Incomparable,NA,5/9/11,63.7
38,The Incomparable,NA,5/7/11,24.83333333
39,The Incomparable,NA,5/15/11,32.13333333
40,The Incomparable,NA,5/17/11,52.51666667
41,The Incomparable,NA,5/22/11,74.1
42,The Incomparable,NA,5/30/11,66.4
43,The Incomparable,NA,6/7/11,62.36666667
44,The Incomparable,NA,6/12/11,57.6
45,The Incomparable,NA,6/19/11,64.5
46,The Incomparable,NA,6/25/11,59.36666667
47,The Incomparable,NA,7/1/11,64.7
48,The Incomparable,NA,7/11/11,72.28333333
49,The Incomparable,NA,8/1/11,59.05
50,The Incomparable,NA,8/8/11,50.63333333
51,The Incomparable,NA,8/14/11,66.21666667
52,The Incomparable,NA,8/21/11,59.41666667
53,The Incomparable,NA,8/29/11,42.5
54,The Incomparable,NA,8/30/11,65.71666667
55,The Incomparable,NA,9/4/11,61.16666667
56,The Incomparable,NA,9/12/11,58.18333333
57,The Incomparable,NA,9/18/11,61.46666667
58,The Incomparable,NA,9/23/11,74.25
59,The Incomparable,NA,10/2/11,81.53333333
60,The Incomparable,NA,10/7/11,66.31666667
61,The Incomparable,NA,10/15/11,60.11666667
62,The Incomparable,NA,10/23/11,43.13333333
63,The Incomparable,NA,10/27/11,48.88333333
64,The Incomparable,NA,10/30/11,82.81666667
65,The Incomparable,NA,11/6/11,80.76666667
66,The Incomparable,NA,11/14/11,60
67,The Incomparable,NA,11/20/11,84.9
68,The Incomparable,NA,11/25/11,87.15
69,The Incomparable,NA,12/5/11,75.51666667
70,The Incomparable,NA,12/10/11,70.95
71,The Incomparable,NA,12/18/11,70.18333333
72,The Incomparable,NA,12/26/11,40.5
73,The Incomparable,NA,1/7/12,64.03333333
74,The Incomparable,NA,1/15/12,60.81666667
75,The Incomparable,NA,1/21/12,59.48333333
76,The Incomparable,NA,1/29/12,45.46666667
77,The Incomparable,NA,2/4/12,72.66666667
78,The Incomparable,NA,2/11/12,58.36666667
79,The Incomparable,NA,2/19/12,65.93333333
80,The Incomparable,NA,2/24/12,57.31666667
81,The Incomparable,NA,3/5/12,53.73333333
82,The Incomparable,NA,3/10/12,71.26666667
83,The Incomparable,NA,3/17/12,71.46666667
84,The Incomparable,NA,3/24/12,93.1
85,The Incomparable,NA,4/1/12,82.26666667
86,The Incomparable,NA,4/14/12,73.61666667
87,The Incomparable,NA,4/22/12,48.13333333
88,The Incomparable,NA,4/29/12,73.95
89,The Incomparable,NA,5/6/12,90.91666667
90,The Incomparable,NA,5/13/12,60.85
91,The Incomparable,NA,5/20/12,70.2
92,The Incomparable,NA,5/26/12,94.2
93,The Incomparable,NA,6/2/12,73.66666667
94,The Incomparable,NA,6/9/12,70.26666667
95,The Incomparable,NA,6/16/12,91.36666667
96,The Incomparable,NA,6/24/12,80.7
97,The Incomparable,NA,7/1/12,59.1
98,The Incomparable,NA,7/7/12,89.68333333
99,The Incomparable,NA,7/16/12,82.76666667
